city,week_day,date,temp_low1,time1,temp_high1,NA1,NA2,temp_low2,time2,temp_high2,NA3,NA4,temp_low3,time3,temp_high3,NA5,NA6,temp_low4,time4,temp_high4,NA7,NA8
cleveland,Sun, Sep 8,61,12am,64,NA,NA,61,6am,72,NA,NA,68,12pm,73,NA,NA,64,6pm,66,NA,NA
cleveland,Mon, Sep 9,63,12am,63,NA,NA,61,6am,73,NA,NA,73,12pm,77,NA,NA,64,6pm,72,NA,NA
cleveland,Tue, Sep 10,61,12am,64,NA,NA,64,6am,81,NA,NA,84,12pm,90,NA,NA,79,6pm,86,NA,NA
cleveland,Wed, Sep 11,72,12am,79,NA,NA,72,6am,88,NA,NA,84,12pm,93,NA,NA,73,6pm,84,NA,NA
cleveland,Thu, Sep 12,70,12am,73,NA,NA,70,6am,75,NA,NA,75,12pm,77,NA,NA,66,6pm,73,NA,NA
cleveland,Fri, Sep 13,66,12am,68,NA,NA,70,6am,82,NA,NA,88,12pm,91,NA,NA,73,6pm,90,NA,NA
cleveland,Sat, Sep 14,64,12am,73,NA,NA,63,6am,73,NA,NA,73,12pm,77,NA,NA,63,6pm,73,NA,NA
cleveland,Sun, Sep 15,61,12am,64,NA,NA,59,6am,73,NA,NA,73,12pm,75,NA,NA,70,6pm,75,NA,NA
cleveland,Mon, Sep 16,66,12am,70,NA,NA,66,6am,79,NA,NA,75,12pm,81,NA,NA,70,6pm,73,NA,NA
cleveland,Tue, Sep 17,64,12am,70,NA,NA,64,6am,73,NA,NA,73,12pm,75,NA,NA,64,6pm,72,NA,NA
cleveland,Wed, Sep 18,61,12am,63,NA,NA,61,6am,77,NA,NA,79,12pm,81,NA,NA,64,6pm,75,NA,NA
cleveland,Thu, Sep 19,61,12am,64,NA,NA,61,6am,77,NA,NA,68,12pm,82,NA,NA,70,6pm,79,NA,NA
cleveland,Fri, Sep 20,63,12am,64,NA,NA,61,6am,81,NA,NA,82,12pm,84,NA,NA,72,6pm,82,NA,NA
cleveland,Sat, Sep 21,66,12am,72,NA,NA,66,6am,82,NA,NA,84,12pm,90,NA,NA,73,6pm,82,NA,NA
cleveland,Sun, Sep 22,73,12am,75,NA,NA,73,6am,88,NA,NA,88,12pm,90,NA,NA,79,6pm,84,NA,NA
cleveland,Mon, Sep 23,70,12am,79,NA,NA,70,6am,75,NA,NA,75,12pm,79,NA,NA,66,6pm,72,NA,NA
cleveland,Tue, Sep 24,55,12am,66,NA,NA,54,6am,70,NA,NA,72,12pm,77,NA,NA,64,6pm,72,NA,NA
cleveland,Wed, Sep 25,61,12am,64,NA,NA,57,6am,79,NA,NA,77,12pm,82,NA,NA,70,6pm,72,NA,NA
cleveland,Thu, Sep 26,64,12am,72,NA,NA,64,6am,73,NA,NA,70,12pm,73,NA,NA,54,6pm,66,NA,NA
cleveland,Fri, Sep 27,50,12am,54,NA,NA,52,6am,77,NA,NA,79,12pm,84,NA,NA,68,6pm,81,NA,NA
cleveland,Sat, Sep 28,66,12am,77,NA,NA,66,6am,79,NA,NA,72,12pm,82,NA,NA,66,6pm,70,NA,NA
cleveland,Sun, Sep 29,66,12am,66,NA,NA,66,6am,72,NA,NA,70,12pm,72,NA,NA,68,6pm,72,NA,NA
cleveland,Mon, Sep 30,66,12am,68,NA,NA,66,6am,73,NA,NA,73,12pm,84,NA,NA,73,6pm,82,NA,NA
cleveland,Tue, Oct 1,73,12am,75,NA,NA,72,6am,88,NA,NA,88,12pm,93,NA,NA,77,6pm,84,NA,NA
cleveland,Wed, Oct 2,73,12am,77,NA,NA,72,6am,82,NA,NA,70,12pm,82,NA,NA,64,6pm,70,NA,NA
